Sl. No,State/UTs,RtgYr - 2017-18,RtgYr - 2018-19,RtgYr - 2019-20,RtgYr - 2020-21,RtgYr - 2021-22
1,Andaman and Nicobar,2,7,11,NA,NA
2,Andhra Pradesh,1431,1301,2426,NA,NA
3,Arunachal Pradesh,217,195,90,NA,NA
4,Assam,900,631,1152,NA,NA
5,Bihar,2726,2199,4559,NA,NA
6,Chandigarh,3,3,6,NA,NA
7,Chhattisgarh,605,372,622,NA,NA
8,Dadra and Nagar Haveli,0,0,1,NA,NA
9,Daman and Diu,0,0,0,NA,NA
10,Delhi,166,167,337,NA,NA
11,Goa,1,2,6,NA,NA
12,Gujarat,728,1346,1822,NA,NA
13,Haryana,3634,3210,5097,NA,NA
14,Himachal Pradesh,2376,4202,5882,NA,NA
15,Jammu and Kashmir,1817,3672,3796,NA,NA
16,Ladakh,0,0,359,NA,NA
17,Jharkhand,925,663,985,NA,NA
18,Karnataka,1410,1680,2930,NA,NA
19,Kerala,1278,865,1846,NA,NA
20,Lakshadweep,7,13,9,NA,NA
21,Madhya Pradesh,2352,1570,3103,NA,NA
22,Maharashtra,3836,4050,6131,NA,NA
23,Manipur,400,311,543,NA,NA
24,Meghalaya,75,89,109,NA,NA
25,Mizoram,108,184,212,NA,NA
26,Nagaland,103,122,71,NA,NA
27,Orissa,737,474,1055,NA,NA
28,Puducherry,1,2,5,NA,NA
29,Punjab,4988,5843,7813,NA,NA
30,Rajasthan,4298,4172,6887,NA,NA
31,Sikkim,109,227,109,NA,NA
32,Tamil Nadu,1872,1530,3225,NA,NA
33,Telangana,643,693,1445,NA,NA
34,Tripura,55,69,91,NA,NA
35,Uttar Pradesh,6339,6322,8425,NA,NA
36,Uttarakhand,2384,3222,4366,NA,NA
37,West Bengal,1862,1471,3166,NA,NA
38,Nepal,1049,2502,1860,NA,NA
Total,Total,49438,53381,80552,NA,NA
39,CF Vac,0,0,0,NA,NA
40,Central Cat (Svy Auto Carto),588,50,20,NA,NA
G/Total,G/Total,50026,53431,80572,12091,NA
